A,1,8,2,1,1
A,1,9,2,1,1
A,1,10,2,0,0
A,1,11,2,1,1
A,1,12,2,0,0
A,1,13,2,0,0
A,1,14,2,0,0
A,1,15,2,0,0
A,1,16,2,0,0
A,1,17,2,0,0
A,1,18,2,0,0
A,1,19,2,0,0
A,2,8,2,1,1
A,2,9,2,0,0
A,2,10,2,0,0
A,2,11,2,0,0
A,2,12,2,0,0
A,2,13,2,0,0
A,2,14,2,0,0
A,2,15,2,0,0
A,2,16,2,0,0
A,2,17,2,0,0
A,2,18,2,0,0
A,2,19,2,0,0
A,3,8,2,0,0
A,3,9,2,0,0
A,3,10,2,0,0
A,3,11,2,0,0
A,3,12,2,0,0
A,3,13,2,0,0
A,3,14,2,0,0
A,3,15,2,0,0
A,3,16,2,0,0
A,3,17,2,0,0
A,3,18,2,0,0
A,3,19,2,0,0
A,4,8,2,0,0
A,4,9,2,0,0
A,4,10,2,0,0
A,4,11,2,0,0
A,4,12,2,0,0
A,4,13,2,0,0
A,4,14,2,0,0
A,4,15,2,0,0
A,4,16,2,0,0
A,4,17,2,0,0
A,4,18,2,0,0
A,4,19,2,0,0
A,5,8,2,0,0
A,5,9,2,0,0
A,5,10,2,0,0
A,5,11,2,0,0
A,5,12,2,0,0
A,5,13,2,0,0
A,5,14,2,0,0
A,5,15,2,0,0
A,5,16,2,0,0
A,5,17,2,0,0
A,5,18,2,0,0
A,5,19,2,0,0
A,6,8,2,0,0
A,6,9,2,0,0
A,6,10,2,0,0
A,6,11,2,0,0
A,6,12,2,0,0
A,6,13,2,0,0
A,6,14,2,0,0
A,6,15,2,0,0
A,6,16,2,0,0
A,6,17,2,0,0
A,6,18,2,0,0
A,6,19,2,0,0
A,7,8,2,0,0
A,7,9,2,0,0
A,7,10,2,0,0
A,7,11,2,0,0
A,7,12,2,0,0
A,7,13,2,0,0
A,7,14,2,0,0
A,7,15,2,0,0
A,7,16,2,0,0
A,7,17,2,0,0
A,7,18,2,0,0
A,7,19,2,0,0
A,8,8,2,0,0
A,8,9,2,0,0
A,8,10,2,0,0
A,8,11,2,0,0
A,8,12,2,0,0
A,8,13,2,0,0
A,8,14,2,0,0
A,8,15,2,0,0
A,8,16,2,0,0
A,8,17,2,0,0
A,8,18,2,0,0
A,8,19,2,0,0
A,9,8,2,0,0
A,9,9,2,0,0
A,9,10,2,0,0
A,9,11,2,0,0
A,9,12,2,0,0
A,9,13,2,0,0
A,9,14,2,0,0
A,9,15,2,0,0
A,9,16,2,0,0
A,9,17,2,0,0
A,9,18,2,0,0
A,9,19,2,0,0
A,10,8,2,0,0
A,10,9,2,0,0
A,10,10,2,0,0
A,10,11,2,0,0
A,10,12,2,0,0
A,10,13,2,0,0
A,10,14,2,0,0
A,10,15,2,0,0
A,10,16,2,0,0
A,10,17,2,0,0
A,10,18,2,0,0
A,10,19,2,0,0
A,11,8,3,1,1
A,11,9,3,1,1
A,11,10,3,0,0
A,11,11,3,0,0
A,11,12,3,0,0
A,11,13,3,0,0
A,11,14,3,0,0
A,11,15,3,0,0
A,11,16,3,0,0
A,11,17,3,0,0
A,11,18,3,0,0
A,11,19,3,0,0
A,12,8,3,1,1
A,12,9,3,0,0
A,12,10,3,0,0
A,12,11,3,0,0
A,12,12,3,0,0
A,12,13,3,0,0
A,12,14,3,0,0
A,12,15,3,0,0
A,12,16,3,0,0
A,12,17,3,0,0
A,12,18,3,0,0
A,12,19,3,0,0
A,13,8,3,0,0
A,13,9,3,0,0
A,13,10,3,0,0
A,13,11,3,0,0
A,13,12,3,0,0
A,13,13,3,0,0
